company_id,company_name,sector,latest_year,P/E,sector_median_PE,5yr_median_PE,PE_vs_sector_median_pct,P/B,EV/EBITDA,market_cap_crore,free_cash_flow_cr,FCF_yield_pct,flag
ABB,Abbott India Ltd,Industrials,2024-03,75.58,47.16,62.63,60.28,4.48,12.63,1536236.24,1095.0,0.07,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024-03,15.07,34.24,51.06,-55.99,6.08,39.72,1905112.17,-79634.0,-4.18,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,2024-03,69.2,34.24,46.9,102.1,4.11,15.96,2473271.58,-79931.0,-3.23,Caution
BANKBARODA,Bank of Baroda,Financials,2024-03,16.89,34.24,67.24,-50.67,4.15,24.7,590971.02,-7559.0,-1.28,Discount
BEL,Bharat Electronics Ltd,Industrials,2024-03,17.89,47.16,52.67,-62.06,9.22,23.14,1354781.06,-1265.0,-0.09,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024-03,29.8,47.16,31.13,-36.8,11.43,21.59,540053.85,-2382.0,-0.44,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024-03,58.43,38.01,31.28,53.74,6.47,16.07,2599556.05,1536.0,0.06,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024-03,68.15,44.92,35.8,51.73,0.72,26.59,468662.13,25415.0,5.42,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024-03,16.79,34.24,33.3,-50.96,10.36,13.52,971931.96,-38538.0,-3.97,Discount
COALINDIA,Coal India Ltd,Materials,2024-03,34.27,55.62,32.17,-38.39,14.75,25.15,454024.84,13617.0,3.0,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024-03,72.53,38.01,37.82,90.84,11.71,36.84,3053088.97,278.0,0.01,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024-03,11.73,47.06,13.03,-75.07,10.19,14.56,2441803.28,509.0,0.02,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024-03,15.62,38.01,18.91,-58.9,13.61,19.29,222391.83,890.0,0.4,Discount
GAIL,GAIL (India) Ltd,Energy,2024-03,25.84,44.92,30.66,-42.47,9.54,33.07,1531867.57,4360.0,0.28,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024-03,33.59,50.95,40.79,-34.07,8.07,23.55,1327797.2,-1365.0,-0.1,Discount
GRASIM,Grasim Industries Ltd,Industrials,2024-03,79.35,47.16,38.27,68.27,5.68,15.23,478951.82,-33833.0,-7.06,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,2024-03,71.89,47.16,51.22,52.45,3.65,8.76,2643616.86,1814.0,0.07,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,2024-03,34.51,50.95,22.92,-32.27,11.88,7.52,548890.59,10145.0,1.85,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2024-03,20.83,34.24,36.03,-39.16,12.38,22.57,1596987.55,105.0,0.01,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,2024-03,76.23,38.01,51.42,100.58,7.87,24.64,1040632.92,9424.0,0.91,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,2024-03,8.99,34.24,51.73,-73.74,3.7,28.79,1807433.12,-17468.0,-0.97,Discount
INFY,Infosys Ltd,Information Technology,2024-03,35.99,63.63,35.99,-43.44,8.97,36.7,1112279.92,20117.0,1.81,Discount
IOC,"Indian Oil Corporation
",Energy,2024-03,28.61,44.92,50.51,-36.3,4.24,33.71,1418164.33,39635.0,2.79,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,2024-03,60.44,38.01,36.42,59.03,5.74,32.47,1258520.29,667.0,0.05,Caution
